knowledge_id,title,content,key_formulas,common_mistakes,teaching_points
K033,两位数加一位数（进位）,两位数加一位数（进位）的计算方法：先把个位上的数相加，如果个位相加满十，就向十位进1。例如28+5，先算8+5=13，满十向十位进1，再算20+10=30，最后30+3=33。,无,"1. 忘记进位
2. 进位后十位计算错误
3. 个位相加错误","1. 用小棒演示进位过程
2. 强调""个位满十向十位进1""
3. 分步写出计算过程"
K034,两位数加两位数（不进位）,两位数加两位数（不进位）的计算方法：相同数位对齐，从个位加起，个位加个位，十位加十位。例如34+25，个位4+5=9，十位3+2=5，结果是59。,无,"1. 数位不对齐
2. 十位和个位混淆
3. 计算错误","1. 强调相同数位对齐
2. 用竖式计算
3. 分步计算"
K035,两位数加两位数（进位）,两位数加两位数（进位）的计算方法：相同数位对齐，从个位加起，个位相加满十向十位进1，十位相加时要加上进位的1。例如46+27，个位6+7=13，向十位进1，十位4+2+1=7，结果是73。,无,"1. 忘记进位
2. 十位相加时忘记加进位的1
3. 数位不对齐","1. 用小棒演示进位
2. 强调进位标记
3. 规范竖式书写"
K036,两位数减两位数（不退位）,两位数减两位数（不退位）的计算方法：相同数位对齐，从个位减起，个位减个位，十位减十位。例如58-34，个位8-4=4，十位5-3=2，结果是24。,无,"1. 数位不对齐
2. 十位和个位混淆
3. 计算错误","1. 强调相同数位对齐
2. 用竖式计算
3. 分步计算"
K037,两位数减两位数（退位）,两位数减两位数（退位）的计算方法：相同数位对齐，从个位减起，如果个位不够减，就从十位退1当10，和个位上的数合起来再减。例如53-27，个位3不够减7，从十位退1当10，13-7=6，十位5退1剩4，4-2=2，结果是26。,无,"1. 忘记退位
2. 十位计算时忘记减1
3. 个位不够减时直接用大数减小数","1. 用小棒演示退位过程
2. 强调""个位不够减，从十位退1当10""
3. 标出退位标记"
K038,连加连减（三个两位数）,三个两位数连加或连减，按从左到右的顺序依次计算。可以分步计算，也可以列一个竖式计算。例如35+28+17，先算35+28=63，再算63+17=80。连减同理。,无,"1. 运算顺序错误
2. 进位或退位处理不当
3. 第二步计算错误","1. 强调从左到右的顺序
2. 分步计算并写出结果
3. 检查每一步计算"
K039,加减混合运算（加减两步）,加减混合运算按从左到右的顺序依次计算。例如45+28-36，先算45+28=73，再算73-36=37。如果有括号，要先算括号里面的。,无,"1. 运算顺序错误
2. 进位或退位处理不当
3. 计算错误","1. 强调从左到右依次计算
2. 分步写出每一步
3. 检查计算结果"
K040,角的初步认识（直角、锐角、钝角）,角有一个顶点和两条边。直角是像课本角那样的角，锐角比直角小，钝角比直角大。要会用三角板判断直角、锐角和钝角。,无,"1. 分不清锐角和钝角
2. 不会用三角板判断
3. 角的边画得太短","1. 用三角板的直角比对
2. 通过活动角感知
3. 强调""顶点和两条边"""
K041,认识乘法（乘法的意义）,乘法是求几个相同加数和的简便运算。例如3个5相加，5+5+5=15，可以写成乘法算式3×5=15或5×3=15。乘号前面的数和后面的数都叫因数，结果叫积。,因数×因数=积,"1. 不理解乘法的意义
2. 分不清相同加数
3. 乘法算式书写错误","1. 通过加法算式引出乘法
2. 强调""几个几""
3. 练习乘法算式读写"
K042,2-6的乘法口诀,乘法口诀是计算乘法的工具。二的口诀有2句，三的口诀有3句……六的口诀有6句。要熟练背诵乘法口诀，看到乘法算式能快速说出结果。,乘法口诀表,"1. 口诀背诵不熟练
2. 口诀顺序错误
3. 混淆相近口诀","1. 理解口诀的含义
2. 多种方式背诵
3. 通过游戏巩固"
K043,乘加乘减（混合运算）,乘加乘减混合运算，先算乘法，再算加减法。例如3×4+2，先算3×4=12，再算12+2=14。3×4-2，先算3×4=12，再算12-2=10。,先乘后加减,"1. 运算顺序错误
2. 乘法口诀记错
3. 加减法计算错误","1. 强调""先算乘法，后算加减""
2. 分步写出计算过程
3. 检查运算顺序"
K044,观察物体（从不同方向观察）,从不同方向观察同一物体，看到的形状可能不同。要会从正面、侧面、上面观察物体，并能画出或描述看到的形状。,无,"1. 分不清观察方向
2. 不会描述看到的形状
3. 空间想象能力不足","1. 实际观察实物
2. 用积木搭建后观察
3. 多角度观察对比"
K045,7的乘法口诀,7的乘法口诀有7句：一七得七、二七十四、三七二十一、四七二十八、五七三十五、六七四十二、七七四十九。要熟练背诵，看到7的乘法算式能快速说出结果。,7的乘法口诀,"1. 口诀不熟练
2. 与其他口诀混淆
3. 计算错误","1. 理解口诀含义
2. 多种方式背诵
3. 对口令游戏"
K046,8的乘法口诀,8的乘法口诀有8句：一八得八、二八十六、三八二十四、四八三十二、五八四十、六八四十八、七八五十六、八八六十四。要熟练背诵，看到8的乘法算式能快速说出结果。,8的乘法口诀,"1. 口诀不熟练
2. 与其他口诀混淆
3. 计算错误","1. 理解口诀含义
2. 多种方式背诵
3. 对口令游戏"
K047,9的乘法口诀,9的乘法口诀有9句：一九得九、二九十八、三九二十七、四九三十六、五九四十五、六九五十四、七九六十三、八九七十二、九九八十一。9的口诀有规律：个位数字依次减1，十位数字依次加1，个位和十位相加等于9。,9的乘法口诀,"1. 口诀不熟练
2. 与其他口诀混淆
3. 忘记规律","1. 利用规律记忆
2. 多种方式背诵
3. 手指记忆法"
K048,认识时间（时分秒）,钟面上有12个大格，60个小格。时针走一大格是1小时，分针走一小格是1分钟，走一大格是5分钟。1小时=60分钟。要会读写钟面上的时间，知道分针指向几就是几个5分钟。,1小时=60分钟,"1. 分不清时针和分针
2. 不会读几分
3. 时间单位换算错误","1. 数小格认识几分
2. 强调""5分5分数""
3. 多做读写练习"
K049,数学广角——搭配（一）,搭配问题是指从几个物体中选出两个进行组合，求有多少种不同的搭配方法。可以用连线法、列举法等方法解决。例如从3个数中选2个数求和，有3种不同的和。,无,"1. 搭配不全面
2. 重复搭配
3. 不会有序思考","1. 强调有序搭配
2. 用连线法帮助思考
3. 分类讨论"
K050,数据收集整理（简单统计表）,数据收集整理就是把收集到的数据进行分类、记录和整理。简单统计表是用表格的形式呈现数据，可以清楚地看出各类数据的数量。要会收集数据、填写统计表和分析数据。,无,"1. 数据收集不完整
2. 统计表填写错误
3. 不会分析数据","1. 实际调查收集数据
2. 规范填写统计表
3. 分析数据并回答问题"
K051,平均分（除法的意义）,平均分就是把一些物品分成若干份，每份分得同样多。平均分有两种情况：一种是按指定的份数分，另一种是按每几个一份来分。平均分是除法的基础。,无,"1. 不会平均分
2. 分得不一样多
3. 不理解平均分的含义","1. 用实物分一分
2. 强调""每份同样多""
3. 对比不平均分"
K052,认识除法（除号、被除数、除数、商）,除法是表示平均分的运算。除号前面的数叫被除数，除号后面的数叫除数，结果叫商。例如把12个苹果平均分成3份，每份4个，写成除法算式是12÷3=4。,被除数÷除数=商,"1. 分不清被除数和除数
2. 除法算式书写错误
3. 不理解除法的意义","1. 通过平均分引出除法
2. 强调各部分名称
3. 练习除法算式读写"
K053,用2-6的乘法口诀求商,用乘法口诀求商，想除数和几相乘得被除数，商就是几。例如12÷3，想3和几相乘得12，三四十二，所以商是4。,除数×商=被除数,"1. 乘法口诀不熟练
2. 找不到对应的口诀
3. 计算错误","1. 熟练乘法口诀
2. 强调""想乘法算除法""
3. 多做练习"
K054,图形的运动（轴对称）,如果一个图形沿着一条直线对折后，两边能够完全重合，这个图形就是轴对称图形，这条直线就是对称轴。要会辨认轴对称图形，画出对称轴。,无,"1. 分不清轴对称图形
2. 对称轴画得不准确
3. 不会找对称轴","1. 实际折纸
2. 强调""完全重合""
3. 多找生活中的轴对称图形"
K055,图形的运动（平移和旋转）,平移是指物体沿着直线移动，形状、大小和方向都不变。旋转是指物体绕着一个点或轴转动，方向会发生改变。要会辨认平移和旋转现象。,无,"1. 分不清平移和旋转
2. 不会描述运动过程
3. 方向判断错误","1. 通过实物演示
2. 强调平移和旋转的特点
3. 观察生活中的运动"
K056,用7、8、9的乘法口诀求商,用7、8、9的乘法口诀求商，想除数和几相乘得被除数，商就是几。例如28÷7，想七四二十八，所以商是4。,除数×商=被除数,"1. 乘法口诀不熟练
2. 找不到对应的口诀
3. 计算错误","1. 熟练7、8、9的口诀
2. 强调""想乘法算除法""
3. 多做练习"
K057,混合运算（同级运算）,同级运算指的是只有加减法或者只有乘除法的运算。同级运算按从左到右的顺序依次计算。例如35+28-17，先算35+28=63，再算63-17=46。,无,"1. 运算顺序错误
2. 计算错误
3. 不会分步计算","1. 强调从左到右
2. 分步写出结果
3. 检查计算"
K058,混合运算（两级运算）,两级运算指的是既有加减法又有乘除法的运算。两级运算先算乘除法，后算加减法。例如35+28×2，先算28×2=56，再算35+56=91。,先乘除后加减,"1. 运算顺序错误
2. 计算错误
3. 不会分步计算","1. 强调先乘除后加减
2. 分步写出结果
3. 检查计算"
K059,有余数的除法（余数小于除数）,当平均分后还有剩余时，就产生了余数。余数必须小于除数。例如13÷4=3……1，余数1小于除数4。余数表示平均分后剩下的数量。,被除数=除数×商+余数; 余数<除数,"1. 余数大于或等于除数
2. 商计算错误
3. 不理解余数的含义","1. 用实物分一分
2. 强调""余数必须小于除数""
3. 多做练习"
K060,有余数除法的应用,有余数除法的应用包括：平均分后有剩余的情况，需要根据实际问题决定是否进一或去尾。例如租船问题，不管余数是几，都需要多租一条船。,无,"1. 不会处理余数
2. 进一法和去尾法混淆
3. 计算错误","1. 分析实际问题
2. 区分进一法和去尾法
3. 多做应用题"
K061,万以内数的认识（数数、读法、写法）,"万以内的数包括个位、十位、百位、千位。读数和写数都从高位起。例如3258读作""三千二百五十八""，写作""3258""。",无,"1. 读数写数错误
2. 漏写0
3. 数位顺序错误","1. 对照数位表
2. 强调从高位起
3. 多做读写练习"
K062,万以内数的大小比较,比较万以内数的大小：先看位数，位数多的数大；位数相同，先看最高位，最高位上的数大的那个数就大；最高位相同，再依次比较下一位。,无,"1. 位数判断错误
2. 比较顺序错误
3. 不会比较","1. 先看位数
2. 从高位到低位依次比较
3. 多做练习"
K063,近似数（估算）,近似数是与准确数相近的数。估算时，通常把数看成与它接近的整十、整百、整千数来计算。例如198+203≈200+200=400。,无,"1. 不会估算
2. 估算值偏差太大
3. 分不清准确数和近似数","1. 理解近似数的含义
2. 学会四舍五入
3. 多做估算练习"
K064,整百整千数的加减法,整百整千数的加减法，可以把数看成几个百、几个千来计算。例如3000+5000=8000，8000-5000=3000。也可以先把0前面的数相加减，再在末尾添上相应个数的0。,无,"1. 忘记末尾添0
2. 计算错误
3. 不理解含义","1. 强调""几个千""
2. 分步计算
3. 多做练习"
K065,克和千克（质量单位）,克和千克是常用的质量单位，1千克=1000克。计量较轻的物品用克作单位，计量较重的物品用千克作单位。要建立1克和1千克的质量概念。,1千克=1000克,"1. 单位换算错误
2. 不会选择合适的单位
3. 对克和千克没有直观感受","1. 用秤实际称量
2. 通过实物感知
3. 多做换算练习"
K066,数学广角——推理,推理是根据已知条件推出未知结论的过程。常用的推理方法有排除法、连线法等。例如：甲、乙、丙三人分别是教师、医生、工程师，已知甲不是教师，乙是医生，可以推出甲是工程师，丙是教师。,无,"1. 不会推理
2. 推理错误
3. 不会表达推理过程","1. 用排除法
2. 用连线法
3. 多做推理练习"
K067,时分秒（时间单位换算）,秒是比分更小的时间单位，1分钟=60秒，1小时=60分钟=3600秒。要会进行时间单位的换算，计算经过的时间可以用结束时间减去开始时间。,"1小时=60分钟
1分钟=60秒","1. 单位换算错误
2. 计算经过时间时借位错误
3. 不会读电子表时间","1. 理解时间单位之间的关系
2. 用线段图表示时间
3. 多做换算练习"
K068,万以内的加法（两位数加两位数）,两位数加两位数，相同数位对齐，从个位加起，个位相加满十向十位进1。例如68+57，个位8+7=15，向十位进1，十位6+5+1=12，结果是125。,无,"1. 忘记进位
2. 十位相加时忘记加进位
3. 数位不对齐","1. 用竖式计算
2. 强调进位标记
3. 检查计算结果"
K069,万以内的减法（两位数减两位数）,两位数减两位数，相同数位对齐，从个位减起，个位不够减从十位退1当10。例如82-47，个位2不够减7，从十位退1当10，12-7=5，十位8退1剩7，7-4=3，结果是35。,无,"1. 忘记退位
2. 十位计算时忘记减1
3. 个位不够减直接相减","1. 用竖式计算
2. 强调退位标记
3. 检查计算结果"
K070,测量（毫米、分米）,毫米和分米是比厘米小和大的长度单位。1厘米=10毫米，1分米=10厘米，1米=10分米。测量较短的物体用毫米作单位，测量中等长度的物体用分米作单位。,"1厘米=10毫米
1分米=10厘米
1米=10分米","1. 单位换算错误
2. 分不清毫米和厘米
3. 测量时读数错误","1. 用尺子实际测量
2. 通过实物感知单位大小
3. 多做换算练习"
K071,测量（千米）,千米是比米大的长度单位，1千米=1000米。测量较长的距离用千米作单位，如公路、铁路的长度。要建立1千米的长度概念。,1千米=1000米,"1. 单位换算错误
2. 不会选择合适的单位
3. 对千米没有直观感受","1. 通过步行体验1千米
2. 列举生活中的千米例子
3. 多做换算练习"
K072,测量（吨）,吨是比千克大的质量单位，1吨=1000千克。计量较重的物体质量用吨作单位，如货车的载重量、大象的体重。要建立1吨的质量概念。,1吨=1000千克,"1. 单位换算错误
2. 不会选择合适的单位
3. 对吨没有直观感受","1. 通过实物感知吨的大小
2. 列举生活中的吨例子
3. 多做换算练习"
K073,万以内的加法（三位数加三位数不进位）,三位数加三位数（不进位），相同数位对齐，从个位加起，个位加个位，十位加十位，百位加百位。例如234+152，个位4+2=6，十位3+5=8，百位2+1=3，结果是386。,无,"1. 数位不对齐
2. 百位、十位、个位混淆
3. 计算错误","1. 用竖式计算
2. 强调相同数位对齐
3. 分步计算"
K074,万以内的加法（三位数加三位数进位）,三位数加三位数（进位），相同数位对齐，从个位加起，哪一位相加满十就向前一位进1。例如368+257，个位8+7=15，向十位进1，十位6+5+1=12，向百位进1，百位3+2+1=6，结果是625。,无,"1. 忘记进位
2. 某一位进位后忘记加进位
3. 数位不对齐","1. 用竖式计算
2. 标出进位标记
3. 检查每一位计算"
K075,万以内的减法（三位数减三位数不退位）,三位数减三位数（不退位），相同数位对齐，从个位减起，个位减个位，十位减十位，百位减百位。例如586-324，个位6-4=2，十位8-2=6，百位5-3=2，结果是262。,无,"1. 数位不对齐
2. 百位、十位、个位混淆
3. 计算错误","1. 用竖式计算
2. 强调相同数位对齐
3. 分步计算"
K076,万以内的减法（三位数减三位数退位）,三位数减三位数（退位），相同数位对齐，从个位减起，哪一位不够减就从前一位退1当10。例如624-387，个位4不够减7，从十位退1当10，14-7=7；十位2退1剩1，1不够减8，从百位退1当10，11-8=3；百位6退1剩5，5-3=2，结果是237。,无,"1. 忘记退位
2. 某一位退位后忘记减1
3. 连续退位时出错","1. 用竖式计算
2. 标出退位标记
3. 强调连续退位的处理"
K077,加减法的验算,加法验算可以用交换加数的位置再算一遍，或者用和减去一个加数看是否等于另一个加数。减法验算可以用差加上减数看是否等于被减数，或者用被减数减去差看是否等于减数。,"加法：交换加数位置或和-一个加数=另一个加数
减法：差+减数=被减数或被减数-差=减数","1. 不会验算方法
2. 验算时计算错误
3. 忘记验算","1. 强调验算的重要性
2. 掌握多种验算方法
3. 养成验算习惯"
K078,倍的认识（一个数是另一个数的几倍）,一个数是另一个数的几倍，就是求这个数里面有几个另一个数，用除法计算。例如12是3的几倍，就是求12里面有几个3，12÷3=4，所以12是3的4倍。,一个数÷另一个数=倍数,"1. 分不清谁是谁的几倍
2. 用乘法计算
3. 不理解倍数的含义","1. 通过画图理解倍数
2. 强调""一个数里面有几个另一个数""
3. 对比乘法和除法"
K079,求一个数的几倍是多少,求一个数的几倍是多少，就是求几个这个数相加的和，用乘法计算。例如求3的5倍是多少，就是求5个3相加，3×5=15。,一个数×倍数=结果,"1. 用除法计算
2. 分不清""是几倍""和""几倍是多少""
3. 乘法计算错误","1. 通过画图理解
2. 强调""几个几""
3. 对比除法和乘法"
K080,多位数乘一位数（口算乘法）,口算多位数乘一位数，可以把多位数拆分成整十数、整百数和个位数，分别与一位数相乘，再把结果相加。例如23×3，先算20×3=60，再算3×3=9，最后60+9=69。,无,"1. 拆分错误
2. 忘记加结果
3. 乘法口诀记错","1. 用分解法口算
2. 分步写出计算过程
3. 检查每一步"
K081,多位数乘一位数（笔算乘法不进位）,笔算多位数乘一位数（不进位），相同数位对齐，从个位乘起，用一位数依次乘多位数的每一位，乘得的积写在相应的数位上。例如123×2，个位3×2=6，十位2×2=4，百位1×2=2，结果是246。,无,"1. 数位不对齐
2. 漏乘某一位
3. 书写位置错误","1. 用竖式计算
2. 强调从个位乘起
3. 规范书写格式"
